time,gt_x,gt_y,gt_vx,gt_vy,fused_x,fused_y,fused_vx,fused_vy,lidar_x,lidar_y,radar_x,radar_y
15.779999,-49.994811,-0.720342,0.144068,-9.998962,-50.005466,-0.635470,-0.072758,-9.866593,-50.038274,0.060028,-50.081940,-0.579387
15.789999,-49.993270,-0.820331,0.164066,-9.998654,-50.005466,-0.635470,-0.072758,-9.866593,-50.038274,0.060028,-50.081940,-0.579387
15.799999,-49.991529,-0.920315,0.184063,-9.998306,-50.005466,-0.635470,-0.072758,-9.866593,-50.038274,0.060028,-50.081940,-0.579387
15.809999,-49.989589,-1.020296,0.204059,-9.997918,-50.010247,-0.954044,-0.078061,-9.922066,-50.066636,-0.950643,-50.081940,-0.579387
15.819999,-49.987448,-1.120274,0.224055,-9.997490,-50.010247,-0.954044,-0.078061,-9.922066,-50.066636,-0.950643,-50.081940,-0.579387
15.829999,-49.985108,-1.220246,0.244049,-9.997022,-49.992503,-1.161035,0.163930,-9.937938,-50.066636,-0.950643,-50.085952,-1.228276
15.839999,-49.982567,-1.320214,0.264043,-9.996513,-49.992503,-1.161035,0.163930,-9.937938,-50.066636,-0.950643,-50.085952,-1.228276
15.849999,-49.979827,-1.420176,0.284035,-9.995965,-49.992503,-1.161035,0.163930,-9.937938,-50.066636,-0.950643,-50.085952,-1.228276
15.859999,-49.976887,-1.520133,0.304027,-9.995377,-49.992503,-1.161035,0.163930,-9.937938,-50.066636,-0.950643,-50.085952,-1.228276
15.869999,-49.973746,-1.620084,0.324017,-9.994749,-49.992503,-1.161035,0.163930,-9.937938,-50.066636,-0.950643,-50.085952,-1.228276
15.879999,-49.970406,-1.720028,0.344006,-9.994081,-49.964484,-1.668266,0.264591,-9.966765,-50.066636,-0.950643,-50.043116,-1.790458
15.889999,-49.966866,-1.819965,0.363993,-9.993373,-49.964484,-1.668266,0.264591,-9.966765,-50.066636,-0.950643,-50.043116,-1.790458
15.899999,-49.963126,-1.919895,0.383979,-9.992625,-49.964484,-1.668266,0.264591,-9.966765,-50.066636,-0.950643,-50.043116,-1.790458
15.909999,-49.959187,-2.019818,0.403964,-9.991837,-49.937856,-2.015428,0.290949,-10.093857,-49.959108,-2.012689,-50.043116,-1.790458
15.919999,-49.955047,-2.119732,0.423946,-9.991009,-49.937856,-2.015428,0.290949,-10.093857,-49.959108,-2.012689,-50.043116,-1.790458
15.929999,-49.950708,-2.219638,0.443928,-9.990142,-49.898541,-2.215754,0.530648,-10.087245,-49.959108,-2.012689,-49.965538,-2.197177
15.939999,-49.946169,-2.319535,0.463907,-9.989234,-49.898541,-2.215754,0.530648,-10.087245,-49.959108,-2.012689,-49.965538,-2.197177
15.949999,-49.941430,-2.419422,0.483884,-9.988286,-49.898541,-2.215754,0.530648,-10.087245,-49.959108,-2.012689,-49.965538,-2.197177
15.959999,-49.936491,-2.519300,0.503860,-9.987298,-49.898541,-2.215754,0.530648,-10.087245,-49.959108,-2.012689,-49.965538,-2.197177
15.969999,-49.931352,-2.619168,0.523834,-9.986270,-49.898541,-2.215754,0.530648,-10.087245,-49.959108,-2.012689,-49.965538,-2.197177
15.979999,-49.926014,-2.719025,0.543805,-9.985203,-49.868953,-2.715811,0.456986,-10.084413,-49.959108,-2.012689,-49.908556,-2.579082
15.989999,-49.920476,-2.818872,0.563774,-9.984095,-49.868953,-2.715811,0.456986,-10.084413,-49.959108,-2.012689,-49.908556,-2.579082
